S	UID	PID	PPID	C	PRI	NI	RSS	SZ	WCHAN	TTY	TIME	CMD
S	0	1	0	0	80	0	11896	42318	-	?	0:0:0	system
S	0	2	0	0	80	0	0	0	-	?	0:-0:0	kthread
I	0	3	2	0	60	-20	0	0	-	?	0:0:0	rcu_g
I	0	4	2	0	60	-20	0	0	-	?	0:0:0	rcu_par_g
I	0	9	2	0	60	-20	0	0	-	?	0:0:0	mm_percpu_w
S	0	10	2	0	80	0	0	0	-	?	0:0:0	ksoftirqd/
I	0	11	2	0	80	0	0	0	-	?	0:0:0	rcu_sche
S	0	12	2	0	80	0	0	0	-	?	0:0:0	migration/
S	0	13	2	0	80	0	0	0	-	?	0:0:0	idle_inject/
S	0	14	2	0	80	0	0	0	-	?	0:0:0	cpuhp/
S	0	15	2	0	80	0	0	0	-	?	0:0:0	cpuhp/
S	0	16	2	0	80	0	0	0	-	?	0:0:0	idle_inject/
S	0	17	2	0	80	0	0	0	-	?	0:0:0	migration/
S	0	18	2	0	80	0	0	0	-	?	0:0:0	ksoftirqd/
I	0	20	2	0	60	-20	0	0	-	?	0:0:0	kworker/1:0H-kblock
S	0	21	2	0	80	0	0	0	-	?	0:0:0	cpuhp/
S	0	22	2	0	80	0	0	0	-	?	0:0:0	idle_inject/
S	0	23	2	0	80	0	0	0	-	?	0:0:0	migration/
S	0	24	2	0	80	0	0	0	-	?	0:0:0	ksoftirqd/
I	0	26	2	0	60	-20	0	0	-	?	0:0:0	kworker/2:0H-kblock
S	0	27	2	0	80	0	0	0	-	?	0:0:0	cpuhp/
S	0	28	2	0	80	0	0	0	-	?	0:0:0	idle_inject/
S	0	29	2	0	80	0	0	0	-	?	0:0:0	migration/
S	0	30	2	0	80	0	0	0	-	?	0:0:0	ksoftirqd/
I	0	32	2	0	60	-20	0	0	-	?	0:0:0	kworker/3:0H-kblock
S	0	33	2	0	80	0	0	0	-	?	0:0:0	kdevtmpf
I	0	34	2	0	60	-20	0	0	-	?	0:0:0	netn
S	0	35	2	0	80	0	0	0	-	?	0:0:0	rcu_tasks_kthr
S	0	36	2	0	80	0	0	0	-	?	0:0:0	rcu_tasks_rude
S	0	37	2	0	80	0	0	0	-	?	0:0:0	rcu_tasks_trac
S	0	38	2	0	80	0	0	0	-	?	0:0:0	kaudit
S	0	41	2	0	80	0	0	0	-	?	0:0:0	khungtask
